COUNTRY,RETAILER,RETAILER_UPC,RETAILER_UPC_DESC,RETAILER_UPC_UOM_FACTOR,RETAILER_ITEM_CODE,RETAILER_NBR,MATERIAL,BASE_UOM,BASE_UOM_UPC,MATERIAL_DIST_CHNL_STATUS,MATERIAL_DIST_CHNL_STATUS_RANK,MATERIAL_BASE_UOM_RANK,PROD_HIER,UOM_EA_EANUPC,UOM_CSE_EAN13_EANUPC,UOM_CSE_ITF14_EANUPC,UOM_CSE_UCC12_EANUPC,UOM_DS_ITF14_EANUPC,UOM_DS_UCC12_EANUPC,UOM_MO_ITF14_EANUPC,UOM_MO_UCC12_EANUPC,UOM_PAL_ITF14_EANUPC,UOM_ZIN_UCC12_EANUPC
CA01,Costco Canada,,TASSIMO 84CT NABOB VARIET (1252819 2PK)  P96L16H48,,000325955,CA2000229,000000602000012800,CSE,10060200001280,YD,2,1,064056501207WZ2ACE,,,10060200001280,,,,,,20060200001287,60200001283
CA01,LCL,6810000008,,,,CA2000287,000000681000000800,CSE,10068100000082,03,1,1,130040501439HX4WZ8,68100000085,,10068100000082,,,,,,20068100000089,
CA01,LCL,6810089595,,,,CA2000287,000000681008959500,CSE,10068100895954,03,1,1,025132103397TQ80UD,68100895957,,10068100895954,,,,,,20068100895951,
CA01,Metro,6618800496,,,32458601,CA2000301,000000661880049600,CSE,10066188004961,03,1,1,1891414034267LDIKL,66188004964,,10066188004961,,,,,,20066188004968,
CA01,Costco Canada,,HEINZ ORGANIC KETCHUP 1.5L                 P432,,001002183,CA2000229,000000570000373000,MO,10057000037304,03,1,2,2331134027756JYSKZ,57000037215,,10057000037304,,,,10057000037212,,20057000037301,
CA01,H.Y. LOUIE,6618800498,MAX BOOST GROUND COFFEE                      ,,92171,CA2000261,000000661880049800,CSE,10066188004985,03,1,1,0231415034276LDIJY,66188004988,,10066188004985,,,,,,20066188004982,
CA01,Walmart,6810000872,CB SLICES,,30375008,CA2000358,000000681000087200,CSE,10068100008729,03,1,1,012132403402HT5WU2,68100008722,,10068100008729,,,,,,20068100008726,
CA01,Sobeys,6618800523,MAXHOUSE COFFEE REGGRUND BRICK 180 G - 6618800523,180G,554469,CA2000341,000000661880052300,CSE,10066188005234,03,1,1,0230113031355RD00U,66188005237,,10066188005234,,,,,,20066188005231,
CA01,Walmart,6810001139,PHILLY TUB,,9045813,CA2000358,000000681000113900,CSE,10068100011392,05,3,1,025132103397TQ8OH0,68100011395,,10068100011392,,,,,,20068100011399,
CA01,LCL,6810002481,,,,CA2000287,000000681000248100,CSE,10068100024811,03,1,1,012131401667TI07TV,68100024814,,10068100024811,,,,,,20068100024818,
CA01,Sobeys,6810000261,PHILLY YOGURT DRINK STRAWBERRY 190 ML - 6810000261,190ML,685129,CA2000341,000000681008994400,CSE,10068100899440,05,3,1,0251227033585KNBZI,68100002614,,10068100899440,,,,,,20068100899447,68100899443
